DateTime,2021 Number of flights,2020 Number of flights,2019 Number of flights
25-Aug,,148116,205374
26-Aug,,152846,204770
27-Aug,,159110,208114
28-Aug,,155275,214472
29-Aug,,133324,224682
30-Aug,,136981,225912
31-Aug,,145561,209889
1-Sep,,146148,187549
2-Sep,,152636,198599
3-Sep,,162095,196660
4-Sep,,173559,208740
5-Sep,,159021,220017
6-Sep,,141825,217665
7-Sep,,145320,200089
8-Sep,,143196,197495
9-Sep,,146196,202320
10-Sep,,153377,205346
11-Sep,,162215,208070
12-Sep,,149109,213798
13-Sep,,145029,215129
14-Sep,,148274,201472
15-Sep,,157722,197282
16-Sep,,156758,200261
17-Sep,,155895,208324
18-Sep,,164247,213812
19-Sep,,155400,217215
20-Sep,,150231,217235
21-Sep,,148551,200873
22-Sep,,154255,189962
23-Sep,,157382,195146
24-Sep,,156616,201408
25-Sep,,153321,206689
26-Sep,,132201,208904
27-Sep,,130980,210361
28-Sep,,130931,181604
29-Sep,,130882,180420
30-Sep,,155109,194024
1-Oct,,163100,195208
2-Oct,,159331,201794
3-Oct,,140138,206625
4-Oct,,135064,204330
5-Oct,,142464,188181
6-Oct,,150356,179729
7-Oct,,152426,192075
8-Oct,,161245,198105
9-Oct,,163785,198359
10-Oct,,135202,202796
11-Oct,,132441,201701
12-Oct,,132649,186101
13-Oct,,146771,187760
14-Oct,,157357,197233
15-Oct,,156068,197609
16-Oct,,157148,194587
17-Oct,,144068,205438
18-Oct,,139373,207353
19-Oct,,138651,181528
20-Oct,,138166,178744
21-Oct,,139069,186771
22-Oct,,151846,193761
23-Oct,,141878,206282
24-Oct,,128438,207139
25-Oct,,123675,202007
26-Oct,,124271,180419
27-Oct,,136318,174852
28-Oct,,142076,191158
29-Oct,,143870,186201
30-Oct,,161577,184409
31-Oct,,150905,186754
1-Nov,,122920,191678
2-Nov,,141570,176349
3-Nov,,154779,174357
4-Nov,,167179,190227
5-Nov,,166889,191909
6-Nov,,169742,197451
7-Nov,,144085,192468
8-Nov,,131575,198028
9-Nov,,137983,175403
10-Nov,,136552,178772
11-Nov,,135773,179274
12-Nov,,152913,181631
13-Nov,,156985,194213
14-Nov,,140152,198711
15-Nov,,123670,197023
16-Nov,,145682,174736
17-Nov,,148984,170225
18-Nov,,154212,185691
19-Nov,,153455,191126
20-Nov,,168452,189792
21-Nov,,150169,193031
22-Nov,,129459,194594
23-Nov,,140867,177433
24-Nov,,150370,173066
25-Nov,,147614,187646
26-Nov,,109293,190126
27-Nov,,130016,179689
28-Nov,,131483,153284
29-Nov,,135971,165164
30-Nov,,130912,167407
1-Dec,,149432,166264
2-Dec,,157000,181253
3-Dec,,161041,192123
4-Dec,,159359,195532
5-Dec,,139015,197228
6-Dec,,131888,195281
7-Dec,,138117,174242
8-Dec,,152078,163776
9-Dec,,163047,172272
10-Dec,,167196,182071
11-Dec,,157400,191475
12-Dec,,122437,195798
13-Dec,,122790,185978
14-Dec,,137180,155636
15-Dec,,150370,166464
16-Dec,,141021,182294
17-Dec,,154311,181205
18-Dec,,167781,196224
19-Dec,,151293,201618
20-Dec,,134888,199255
21-Dec,,140175,179561
22-Dec,,156499,166585
23-Dec,,153218,176614
24-Dec,,113112,151230
25-Dec,,86450,120212
26-Dec,,126552,166012
27-Dec,,137385,178009
28-Dec,,133896,168658
29-Dec,,143506,161805
30-Dec,,142838,171314
31-Dec,,116553,160672
