,Ethnicity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Active_White,90.94263051097583,91.63149201688383,89.41079522043675,76.14678899082568,81.47109577221742,84.83651525126179,85.39016115351993,86.95563279492946,88.61423220973784,89.49889462048637,89.1444866920152,87.43278231428002
1,Active_Black,87.71929824561403,85.38011695906432,83.77483443708608,59.09090909090909,70.0,73.62204724409449,75.64575645756457,75.82089552238806,76.75675675675676,79.18781725888326,80.43478260869566,81.08108108108108
2,Active_AmIn,81.63265306122449,87.27272727272727,77.77777777777779,59.45945945945946,60.60606060606061,81.48148148148148,83.33333333333334,87.8048780487805,83.72093023255815,78.72340425531915,66.66666666666666,78.26086956521739
3,Active_Asian,90.9090909090909,90.42904290429043,91.84397163120568,61.92170818505338,68.18181818181817,78.03921568627452,82.77310924369748,86.0082304526749,84.70149253731343,85.61643835616438,85.40145985401459,87.02928870292888
