,% Unemp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,<5 Weeks,34.22074320576816,28.742857142857144,28.421741977734122,38.443396226415096,30.211893369788108,32.049224184055646,25.957446808510635,21.719901719901717,22.27602905569007,21.630479311757476,20.633561643835616,20.362622036262206
1,5 to 14 Weeks,28.618968386023298,32.57142857142858,33.39882121807465,27.122641509433965,38.892686261107315,39.96789727126806,33.244680851063826,28.697788697788695,24.93946731234867,24.211388775092175,24.82876712328767,24.31427243142724
2,15 to 26 Weeks,14.64226289517471,15.828571428571427,15.389652914210872,16.037735849056602,14.96924128503076,14.285714285714285,24.095744680851062,30.565110565110565,30.104923325262305,23.637853338795576,18.535958904109588,17.154811715481173
3,27+ Weeks,22.51802551303383,22.857142857142858,22.789783889980352,18.39622641509434,15.926179084073821,13.69716425896201,16.70212765957447,19.01719901719902,22.679580306698952,30.52027857435477,36.00171232876712,38.168293816829376
