,Industry,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Agriculture,91.10169491525424,93.94572025052193,92.85714285714286,95.08928571428571,96.33867276887872,97.1830985915493,97.48858447488584,96.81908548707754,95.73283858998145,94.07783417935703,93.19470699432893,92.38683127572016
1,Construction,87.41258741258741,90.46673286991063,87.43109151047409,73.52587244283995,80.22113022113022,83.59281437125749,83.47613219094248,84.52914798206278,88.08808808808809,89.35516888433982,87.95546558704453,84.97854077253218
2,Manufacturing,92.65306122448979,92.47787610619469,93.30143540669856,84.15841584158416,80.21978021978022,89.11917098445595,88.5,87.93969849246231,89.56521739130436,88.13559322033898,88.83720930232558,87.14285714285714
3,Wholesale_trade,87.96296296296296,88.9908256880734,94.04761904761905,87.95180722891565,87.5,86.36363636363636,89.47368421052632,86.73469387755102,89.7196261682243,91.8918918918919,90.29126213592234,84.84848484848484
4,Retail_trade,93.4560327198364,91.12554112554112,90.22222222222223,73.568281938326,80.46511627906978,84.84848484848484,88.3248730964467,88.3419689119171,90.09433962264151,88.8,88.81856540084388,89.47368421052632
5,Transportation,89.16967509025271,88.9261744966443,85.99221789883269,70.0374531835206,71.85185185185186,77.8169014084507,77.53623188405797,82.06106870229007,78.40531561461795,84.86842105263158,85.56701030927834,85.97122302158273
6,Information,89.8876404494382,90.69767441860465,80.68181818181817,76.5432098765432,77.77777777777779,74.66666666666667,84.61538461538461,80.45977011494253,79.34782608695652,81.92771084337349,75.90361445783132,84.0909090909091
7,Financial_Activities,90.80459770114942,92.09039548022598,90.29345372460497,80.33826638477801,84.70066518847007,86.65254237288136,88.8,91.2871287128713,91.09848484848484,90.56974459724951,89.46280991735537,89.97955010224949
8,PBS,90.74215761285387,89.65517241379311,88.70151770657672,77.95698924731182,83.62147406733395,84.67360454115422,84.64223385689354,85.37414965986395,85.89147286821705,88.19444444444444,88.7843137254902,88.79159369527146
9,ES,90.47619047619048,91.97080291970804,91.07142857142857,64.03508771929825,73.80952380952381,73.33333333333333,76.14678899082568,85.96491228070175,87.2,86.66666666666667,91.47286821705426,88.33333333333333
10,HS,94.0828402366864,95.22388059701493,93.0921052631579,79.61783439490446,83.21428571428572,89.23076923076924,88.81118881118881,89.35483870967742,91.07142857142857,95.32710280373831,91.91919191919192,94.29530201342283
11,AERH,90.73359073359073,90.44117647058823,81.89655172413794,60.851063829787236,64.28571428571429,69.26829268292683,65.38461538461539,67.45283018867924,79.73568281938326,82.25108225108225,80.76923076923077,71.49532710280374
12,Restaurants,92.15686274509804,92.85714285714286,90.27777777777779,73.37662337662337,78.04878048780488,79.56204379562044,80.2919708029197,80.89171974522293,85.56701030927834,84.42211055276381,84.6938775510204,80.0
13,RM,90.2127659574468,88.39285714285714,90.05524861878453,79.54545454545455,82.91139240506328,86.11111111111111,86.33093525179856,88.0794701986755,91.22807017543859,91.4572864321608,91.62790697674419,90.45226130653266
14,PS,93.9209726443769,94.31818181818183,89.63210702341136,23.55072463768116,50.326797385620914,73.8255033557047,79.93527508090615,82.56880733944955,81.30841121495327,80.625,80.57324840764332,77.38853503184714
