Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 26, 2021","32,681.07","33,098.83","32,681.07","33,072.88","33,072.88","3,821,700"
"Mar 25, 2021","32,346.81","32,672.69","32,071.41","32,619.48","32,619.48","4,119,900"
"Mar 24, 2021","32,470.88","32,787.99","32,418.15","32,420.06","32,420.06","3,993,900"
"Mar 23, 2021","32,691.50","32,753.77","32,356.28","32,423.15","32,423.15","3,858,400"
"Mar 22, 2021","32,601.82","32,810.35","32,512.53","32,731.20","32,731.20","3,835,000"
"Mar 19, 2021","32,858.36","32,858.36","32,505.07","32,627.97","32,627.97","8,118,900"
"Mar 18, 2021","32,928.16","33,227.78","32,831.25","32,862.30","32,862.30","4,184,800"
"Mar 17, 2021","32,825.52","33,047.58","32,782.18","33,015.37","33,015.37","3,912,000"
"Mar 16, 2021","32,966.75","32,966.75","32,778.23","32,825.95","32,825.95","3,863,700"
"Mar 15, 2021","32,798.84","32,973.40","32,629.75","32,953.46","32,953.46","3,600,800"
"Mar 12, 2021","32,462.40","32,793.32","32,462.40","32,778.64","32,778.64","3,464,000"
"Mar 11, 2021","32,354.50","32,661.59","32,345.70","32,485.59","32,485.59","4,000,200"
"Mar 10, 2021","31,906.96","32,389.50","31,906.96","32,297.02","32,297.02","4,091,100"
"Mar 09, 2021","31,892.35","32,150.32","31,822.64","31,832.74","31,832.74","4,586,900"
"Mar 08, 2021","31,512.15","32,148.04","31,512.15","31,802.44","31,802.44","4,969,800"
"Mar 05, 2021","31,029.18","31,580.33","30,766.81","31,496.30","31,496.30","5,018,100"
"Mar 04, 2021","31,289.01","31,461.97","30,547.53","30,924.14","30,924.14","5,378,500"
"Mar 03, 2021","31,352.96","31,563.31","31,260.14","31,270.09","31,270.09","4,096,600"
"Mar 02, 2021","31,535.37","31,623.27","31,377.16","31,391.52","31,391.52","3,372,700"
"Mar 01, 2021","31,065.90","31,668.34","31,065.90","31,535.51","31,535.51","3,856,700"
"Feb 26, 2021","31,401.29","31,450.89","30,911.37","30,932.37","30,932.37","5,322,500"
"Feb 25, 2021","31,955.94","31,984.77","31,293.32","31,402.01","31,402.01","4,541,100"
"Feb 24, 2021","31,499.75","32,009.64","31,421.29","31,961.86","31,961.86","4,101,500"
"Feb 23, 2021","31,501.89","31,653.38","31,158.76","31,537.35","31,537.35","4,604,100"
"Feb 22, 2021","31,381.12","31,653.48","31,286.57","31,521.69","31,521.69","3,872,100"
"Feb 19, 2021","31,504.13","31,647.53","31,469.34","31,494.32","31,494.32","3,530,700"
"Feb 18, 2021","31,558.60","31,558.60","31,285.32","31,493.34","31,493.34","3,259,900"
"Feb 17, 2021","31,485.61","31,643.70","31,338.76","31,613.02","31,613.02","3,435,100"
"Feb 16, 2021","31,472.08","31,608.63","31,443.48","31,522.75","31,522.75","3,292,100"
"Feb 12, 2021","31,420.80","31,475.31","31,347.80","31,458.40","31,458.40","2,630,900"
"Feb 11, 2021","31,466.49","31,543.82","31,244.36","31,430.70","31,430.70","2,803,200"
"Feb 10, 2021","31,428.02","31,511.44","31,221.32","31,437.80","31,437.80","3,264,500"
"Feb 09, 2021","31,359.88","31,439.47","31,245.86","31,375.83","31,375.83","3,082,100"
"Feb 08, 2021","31,191.20","31,386.10","31,191.20","31,385.76","31,385.76","3,222,500"
"Feb 05, 2021","31,093.81","31,252.18","31,083.22","31,148.24","31,148.24","2,935,500"
"Feb 04, 2021","30,737.78","31,065.96","30,737.78","31,055.86","31,055.86","3,383,300"
"Feb 03, 2021","30,689.65","30,793.41","30,521.31","30,723.60","30,723.60","3,055,900"
"Feb 02, 2021","30,276.88","30,840.54","30,276.88","30,687.48","30,687.48","3,331,600"
"Feb 01, 2021","30,054.73","30,335.91","30,014.97","30,211.91","30,211.91","3,470,600"
