Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,5604
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,8952
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,8811
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,8861
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,9324
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,5891
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,6332
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,9045
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,8758
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,8950
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,9249
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,6487
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,10161
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,10828
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,10877
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,11056
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,10265
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,10283
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,10583
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,3772
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,11124
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,914
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,10420
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,11406
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,11144
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,10332
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,777
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,770
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,10242
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,12118
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,11186
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,10492
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,1162
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,1441
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,10588
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,11116
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,10849
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,10582
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,1787
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,2088
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,10603
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,11278
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,11247
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,10798
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,2466
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,3009
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,10925
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,11191
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,109
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,220
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,164
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,103
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,242
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,110
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,95
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,251
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,82
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,100
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,246
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,84
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,83
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,111
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,244
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,244
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,115
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,79
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,70
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,112
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,246
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,261
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,110
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,65
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,61
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,108
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,287
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,326
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,107
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,60
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,60
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,107
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,319
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,265
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,107
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,59
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,3612
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,3716
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,4684
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,3726
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,4696
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,3434
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,3393
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,4724
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,3867
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,4139
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,4818
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,3488
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,3559
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,4912
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,4323
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,5006
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,3606
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,4418
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,4426
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,3630
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,5100
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,5183
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,3680
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,4459
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,4518
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,3755
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,5254
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,5314
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,3857
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,4604
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,4661
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,3884
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,5354
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,5374
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,3837
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,4689
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,3363
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,3351
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,3214
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,3201
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,3246
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,3258
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,3437
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,3380
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,3217
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,3314
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,3369
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,3203
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,3231
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,3443
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,3342
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,3310
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,3393
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,3272
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,3302
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,3409
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,3224
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,3215
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,3402
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,3293
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,3245
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,3345
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,3260
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,3307
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,3298
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,3287
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,3285
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,3342
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,3322
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,3381
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,3347
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,3318
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,3746
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,3673
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,3743
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,3866
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,4457
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,3700
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,3625
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,3413
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,3582
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,3046
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,3430
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,3517
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,3465
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,2900
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,3440
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,3691
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,3089
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,3466
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,3521
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,3615
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,3685
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,3469
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,3950
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,3552
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,3558
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,4095
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,3541
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,3654
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,3539
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,4050
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,4020
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,3527
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,3725
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,3754
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,4005
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,3521
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,3583
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,3517
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,3451
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,3306
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,3530
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,3567
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,3574
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,3150
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,3574
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,3605
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,3112
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,3648
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,3688
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,3129
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,3604
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,3694
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,3572
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,3074
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,2948
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,3509
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,3666
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,3655
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,3478
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,2846
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,3481
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,3661
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,2769
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,2716
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,3683
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,3516
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,3534
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,3699
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,2682
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,2664
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,3706
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,3534
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,9134
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,8908
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,9791
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,10004
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,8864
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,9178
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,9242
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,8853
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,9877
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,9605
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,8875
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,9326
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,9430
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,8911
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,9568
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,9493
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,8961
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,9555
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,9700
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,9026
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,9380
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,9309
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,9066
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,9754
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,9717
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,9082
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,9280
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,9074
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,9294
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,9588
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,9303
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,9502
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,9088
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,9125
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,9459
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,9307
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,1685
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,1870
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,1504
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,1526
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,1900
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,1711
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,1896
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,1578
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,1734
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,1755
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,1658
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,1916
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,1764
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,1959
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,1687
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,1664
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,1993
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,1759
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,1741
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,2017
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,1590
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,1553
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,2046
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,1743
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,1764
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,2078
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,1553
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,2113
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,1592
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,1805
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,1832
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,1627
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,2137
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,2149
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,1658
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,1846
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,2033
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,1869
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,1901
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,1997
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,1887
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,2032
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,2035
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,1898
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,2004
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,1977
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,1903
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,2041
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,2047
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,1910
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,1985
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2019,2000
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2018,1921
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,2052
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2020,2058
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2018,1934
Commercial services imports of selected economies – monthly,United States of America,World,July,Million US dollar,2019,2024
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2019,2038
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2020,2062
Commercial services imports of selected economies – monthly,United States of America,World,August,Million US dollar,2018,1939
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2018,1935
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2020,2065
Commercial services imports of selected economies – monthly,United States of America,World,September,Million US dollar,2019,2043
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2019,2040
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2020,2067
Commercial services imports of selected economies – monthly,United States of America,World,October,Million US dollar,2018,1923
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2018,1922
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2020,2068
Commercial services imports of selected economies – monthly,United States of America,World,November,Million US dollar,2019,2037
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2020,2069
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2018,1933
Commercial services imports of selected economies – monthly,United States of America,World,December,Million US dollar,2019,2036
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2020,47247
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2019,46119
Commercial services imports of selected economies – monthly,United States of America,World,January,Million US dollar,2018,43811
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2018,44750
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2019,45890
Commercial services imports of selected economies – monthly,United States of America,World,February,Million US dollar,2020,46411
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2020,36990
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2019,46356
Commercial services imports of selected economies – monthly,United States of America,World,March,Million US dollar,2018,44095
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2018,44410
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2019,46766
Commercial services imports of selected economies – monthly,United States of America,World,April,Million US dollar,2020,31587
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2019,47072
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2018,44345
Commercial services imports of selected economies – monthly,United States of America,World,May,Million US dollar,2020,31487
Commercial services imports of selected economies – monthly,United States of America,World,June,Million US dollar,2020,31932
