Date,Open nif,High nif,Low nif,Close nif,Adj Close nif,Volume nif,Open nse,High nse,Low nse,Close nse,Adj Close nse,Volume nse
2020-01-01,12202.1504,12222.2002,12165.2998,12182.5,12182.5,304100.0,,,,,,
2020-01-02,12198.5498,12289.9004,12195.25,12282.2002,12282.2002,407700.0,32133.1504,32465.4492,32121.4004,32443.8496,32443.8496,253600.0
2020-01-03,12261.0996,12265.5996,12191.3496,12226.6504,12226.6504,428800.0,32326.9492,32329.8008,31960.4004,32069.25,32069.25,217600.0
2020-01-06,12170.5996,12179.0996,11974.2002,11993.0498,11993.0498,396500.0,31910.4492,31914.4492,31170.5508,31237.1504,31237.1504,256200.0
2020-01-07,12079.0996,12152.1504,12005.3496,12052.9502,12052.9502,447800.0,31598.0508,31851.4492,31200.9004,31399.4004,31399.4004,294400.0
2020-01-08,11939.0996,12044.9502,11929.5996,12025.3496,12025.3496,446000.0,30995.5,31451.8496,30899.5508,31373.6504,31373.6504,304500.0
2020-01-09,12153.1504,12224.0498,12132.5498,12215.9004,12215.9004,477500.0,31748.25,32172.6992,31667.1504,32092.4004,32092.4004,308000.0
2020-01-10,12271.0,12311.2002,12213.2002,12256.7998,12256.7998,660600.0,32215.6992,32347.1992,31953.4004,32097.4004,32097.4004,444700.0
2020-01-13,12296.7002,12337.75,12285.7998,12329.5498,12329.5498,501000.0,32139.0996,32322.6504,32074.0508,32177.6504,32177.6504,291400.0
2020-01-14,12333.0996,12374.25,12308.7002,12362.2998,12362.2998,616300.0,32196.4492,32196.4492,31989.1992,32071.6504,32071.6504,438900.0
2020-01-15,12349.4004,12355.1504,12278.75,12343.2998,12343.2998,684400.0,31994.75,32000.9004,31670.3496,31824.9004,31824.9004,545700.0
2020-01-16,12347.0996,12389.0498,12315.7998,12355.5,12355.5,395700.0,31810.5508,31988.9004,31692.4004,31853.9004,31853.9004,253700.0
2020-01-17,12328.4004,12385.4502,12321.4004,12352.3496,12352.3496,502100.0,31571.6504,31773.5508,31445.5,31590.6504,31590.6504,308100.0
2020-01-20,12430.5,12430.5,12216.9004,12224.5498,12224.5498,491600.0,31923.9492,31923.9492,31050.9492,31080.6504,31080.6504,282200.0
2020-01-21,12195.2998,12230.0498,12162.2998,12169.8496,12169.8496,400.0,30978.8496,31171.25,30858.5996,30947.5508,30947.5508,227500.0
2020-01-22,12218.3496,12225.0498,12087.9004,12106.9004,12106.9004,500.0,31061.5996,31149.0508,30614.0,30701.4492,30701.4492,200600.0
2020-01-23,12123.75,12189.0,12094.0996,12180.3496,12180.3496,867700.0,30742.1992,31087.25,30621.3496,31004.0508,31004.0508,343800.0
2020-01-24,12174.5498,12272.1504,12149.6504,12248.25,12248.25,593200.0,31040.0996,31375.4492,30879.0508,31241.75,31241.75,424600.0
2020-01-27,12197.0996,12216.5996,12107.0,12119.0,12119.0,441200.0,31110.5508,31227.0508,30808.5508,30837.4004,30837.4004,309900.0
2020-01-28,12148.0996,12163.5498,12024.5,12055.7998,12055.7998,478500.0,30922.0,31048.4492,30656.3496,30761.4004,30761.4004,239600.0
2020-01-29,12114.9004,12169.5996,12103.7998,12129.5,12129.5,514400.0,30915.0996,31082.8496,30835.8008,30877.0,30877.0,268800.0
2020-01-30,12147.75,12150.2998,12010.5996,12035.7998,12035.7998,538100.0,30889.25,30909.5,30521.3008,30647.4004,30647.4004,328900.0
2020-01-31,12100.4004,12103.5498,11945.8496,11962.0996,11962.0996,771300.0,30950.5,31033.4492,30691.8008,30833.5996,30833.5996,333400.0
2020-02-03,11627.4502,11749.8496,11614.5,11707.9004,11707.9004,669800.0,29811.75,30105.8008,29612.5508,30023.25,30023.25,337100.0
2020-02-04,11786.25,11986.1504,11783.4004,11979.6504,11979.6504,560400.0,30235.3008,30776.9492,30182.4492,30686.6992,30686.6992,336600.0
2020-02-05,12005.8496,12098.1504,11953.3496,12089.1504,12089.1504,758000.0,30761.9492,31065.8496,30630.8496,31001.9492,31001.9492,427600.0
2020-02-06,12120.0,12160.5996,12084.6504,12137.9502,12137.9502,565100.0,31070.75,31470.6504,30917.25,31304.0508,31304.0508,334000.0
2020-02-07,12151.1504,12154.7002,12073.9502,12098.3496,12098.3496,473500.0,31367.0508,31368.1992,31111.0508,31201.9492,31201.9492,254400.0
2020-02-10,12102.3496,12103.5498,11990.75,12031.5,12031.5,524700.0,31248.6504,31248.8008,30957.1992,31058.1504,31058.1504,239700.0
2020-02-11,12108.4004,12172.2998,12099.0,12107.9004,12107.9004,480000.0,31230.1992,31505.9492,31225.9004,31300.5996,31300.5996,198900.0
2020-02-12,12151.0,12231.75,12144.2998,12201.2002,12201.2002,411700.0,31441.1504,31588.5996,31398.1504,31492.9004,31492.9004,226000.0
2020-02-13,12219.5498,12225.6504,12139.7998,12174.6504,12174.6504,501200.0,31586.5508,31649.4492,31180.5996,31230.25,31230.25,303000.0
2020-02-14,12190.1504,12246.7002,12091.2002,12113.4502,12113.4502,622800.0,31281.8496,31436.6504,30776.0996,30834.8008,30834.8008,341400.0
2020-02-17,12131.7998,12159.5996,12037.0,12045.7998,12045.7998,0.0,30873.8496,30998.1504,30630.5,30680.6992,30680.6992,0.0
2020-02-18,12028.25,12030.75,11908.0498,11992.5,11992.5,676900.0,30661.5,30692.75,30252.4492,30562.5,30562.5,398900.0
2020-02-19,12090.5996,12134.7002,12042.0996,12125.9004,12125.9004,513600.0,30905.0,30947.1504,30606.1504,30838.1992,30838.1992,268800.0
2020-02-20,12119.0,12152.0,12071.4502,12080.8496,12080.8496,502600.0,30862.3008,31085.3008,30702.4492,30942.8496,30942.8496,273100.0
2020-02-24,12012.5498,12012.5498,11813.4004,11829.4004,11829.4004,490800.0,30666.3496,30702.1504,30428.0,30455.0996,30455.0996,254200.0
2020-02-25,11877.5,11883.0498,11779.9004,11797.9004,11797.9004,461000.0,30517.0,30610.6992,30329.9492,30432.6992,30432.6992,215900.0
2020-02-26,11738.5498,11783.25,11639.5996,11678.5,11678.5,567600.0,30279.9492,30515.3496,30131.75,30306.8496,30306.8496,291000.0
2020-02-27,11661.25,11663.8496,11536.7002,11633.2998,11633.2998,608600.0,30270.0,30271.9492,29914.1504,30187.0,30187.0,358000.0
2020-02-28,11382.0,11384.7998,11175.0498,11201.75,11201.75,809900.0,29501.5508,29564.0996,29051.5,29147.1504,29147.1504,386900.0
2020-03-02,11387.3496,11433.0,11036.25,11132.75,11132.75,680800.0,29701.0,29791.1504,28571.6992,28868.4004,28868.4004,368300.0
2020-03-03,11217.5498,11342.25,11152.5498,11303.2998,11303.2998,696500.0,29012.5508,29285.3496,28749.5508,29177.0508,29177.0508,367300.0
2020-03-04,11351.3496,11356.5996,11082.1504,11251.0,11251.0,797700.0,29252.9492,29273.6504,28125.1504,28653.6992,28653.6992,425800.0
2020-03-05,11306.0498,11389.5,11244.5996,11269.0,11269.0,1352500.0,28830.3008,29134.3008,28535.5996,28815.3496,28815.3496,1075700.0
2020-03-06,10942.6504,11035.0996,10827.4004,10989.4502,10989.4502,1811000.0,27649.9492,28047.1992,27162.3008,27801.4492,27801.4492,1568100.0
2020-03-09,10742.0498,10751.5498,10294.4502,10451.4502,10451.4502,1565500.0,27031.4492,27091.5996,25923.4004,26462.5996,26462.5996,1059000.0
2020-03-11,10334.2998,10545.0996,10334.0,10458.4004,10458.4004,1218500.0,26272.75,26791.4492,26234.0996,26487.8008,26487.8008,723300.0
2020-03-12,10039.9502,10040.75,9508.0,9590.15039,9590.15039,1343500.0,25175.9004,25223.0996,23536.3496,23971.1504,23971.1504,760600.0
2020-03-13,9107.59961,10159.4004,8555.15039,9955.2002,9955.2002,1388000.0,22720.75,25670.75,21351.6992,25166.4492,25166.4492,783400.0
2020-03-16,9587.799809999999,9602.2002,9165.09961,9197.40039,9197.40039,897700.0,24061.5996,24074.1504,23008.25,23101.1504,23101.1504,481900.0
2020-03-17,9285.40039,9403.799809999999,8915.59961,8967.049809999999,8967.049809999999,935600.0,23348.0508,23449.5,22002.0,22155.1504,22155.1504,537700.0
2020-03-18,9088.4502,9127.549809999999,8407.049809999999,8468.799809999999,8468.799809999999,1516600.0,22411.8496,22544.0508,20267.9492,20580.1992,20580.1992,875300.0
2020-03-19,8063.2998099999995,8575.4502,7832.5498099999995,8263.4502,8263.4502,925700.0,19428.9492,21035.0508,18675.6504,20083.5,20083.5,476600.0
2020-03-20,8284.4502,8883.0,8178.2002,8745.4502,8745.4502,1071500.0,19898.3008,20924.5508,19265.0,20317.5996,20317.5996,501800.0
2020-03-23,7945.7002,8159.25,7583.6001,7610.25,7610.25,653500.0,18311.3008,18895.6504,16791.0508,16917.6504,16917.6504,307600.0
2020-03-24,7848.2998099999995,8036.9502,7511.1001,7801.0498099999995,7801.0498099999995,738400.0,17705.8496,17841.4004,16116.25,17107.3008,17107.3008,391700.0
2020-03-25,7735.1499,8376.75,7714.75,8317.84961,8317.84961,736900.0,16759.9492,18740.1992,16635.5,18481.0508,18481.0508,394600.0
2020-03-26,8451.0,8749.049809999999,8304.90039,8641.4502,8641.4502,865600.0,18781.8496,20409.3496,18364.5,19613.9004,19613.9004,482900.0
2020-03-27,8949.09961,9038.90039,8522.90039,8660.25,8660.25,801500.0,20801.5996,21462.4004,19580.0996,19969.0,19969.0,539400.0
