Date,Open China,High China,Low China,Close China,Adj Close China,Volume China,Open India,High India,Low India,Close India,Adj Close India,Volume India
2020-01-02,28249.369141000003,28543.519531,28245.970702999995,28543.519531,28543.519531,1262732800,12198.5498,12289.9004,12195.25,12282.2002,12282.2002,407700.0
2020-01-03,28828.359375,28883.300781,28428.169922000005,28451.5,28451.5,1797904800,12261.0996,12265.5996,12191.3496,12226.6504,12226.6504,428800.0
2020-01-06,28326.5,28367.869141000003,28054.289063,28226.189452999995,28226.189452999995,1793426600,12170.5996,12179.0996,11974.2002,11993.0498,11993.0498,396500.0
2020-01-07,28352.679688,28473.080077999995,28264.070313,28322.060547000005,28322.060547000005,1302687200,12079.0996,12152.1504,12005.3496,12052.9502,12052.9502,447800.0
2020-01-08,27999.580077999995,28198.609375,27857.730469,28087.919922000005,28087.919922000005,1709241600,11939.0996,12044.9502,11929.5996,12025.3496,12025.3496,446000.0
2020-01-09,28367.650391000003,28561.0,28325.859375,28561.0,28561.0,1692786200,12153.1504,12224.0498,12132.5498,12215.9004,12215.9004,477500.0
2020-01-10,28665.140625,28665.140625,28504.269531,28638.199219,28638.199219,1448401000,12271.0,12311.2002,12213.2002,12256.7998,12256.7998,660600.0
2020-01-13,28772.369141000003,28971.400391000003,28671.839844,28954.939452999995,28954.939452999995,1765055700,12296.7002,12337.75,12285.7998,12329.5498,12329.5498,501000.0
2020-01-14,29149.529297000005,29149.529297000005,28790.490233999997,28885.140625,28885.140625,1643504700,12333.0996,12374.25,12308.7002,12362.2998,12362.2998,616300.0
2020-01-15,28891.070313,28972.679688,28619.099608999997,28773.589844,28773.589844,1240120700,12349.4004,12355.1504,12278.75,12343.2998,12343.2998,684400.0
2020-01-16,28806.119141000003,28987.730469,28709.570313,28883.039063,28883.039063,1620926200,12347.0996,12389.0498,12315.7998,12355.5,12355.5,395700.0
2020-01-17,28988.160156,29101.150391000003,28813.130858999997,29056.419922000005,29056.419922000005,1545082800,12328.4004,12385.4502,12321.4004,12352.3496,12352.3496,502100.0
2020-01-20,29169.119141000003,29174.919922000005,28795.419922000005,28795.910156,28795.910156,1633383900,12430.5,12430.5,12216.9004,12224.5498,12224.5498,491600.0
2020-01-21,28449.380858999997,28492.029297000005,27980.5,27985.330077999995,27985.330077999995,2236521700,12195.2998,12230.0498,12162.2998,12169.8496,12169.8496,400.0
2020-01-22,28116.5,28393.929688,27937.679688,28341.039063,28341.039063,1343288100,12218.3496,12225.0498,12087.9004,12106.9004,12106.9004,500.0
2020-01-23,28109.75,28133.029297000005,27706.369141000003,27909.119141000003,27909.119141000003,1753263000,12123.75,12189.0,12094.0996,12180.3496,12180.3496,867700.0
2020-01-24,27935.419922000005,27977.630858999997,27774.5,27949.640625,27949.640625,612128700,12174.5498,12272.1504,12149.6504,12248.25,12248.25,593200.0
2020-01-29,27101.539063,27333.300781,27101.539063,27160.630858999997,27160.630858999997,2203836100,12114.9004,12169.5996,12103.7998,12129.5,12129.5,514400.0
2020-01-30,27030.609375,27134.550781,26330.050781,26449.130859,26449.130859,2223567800,12147.75,12150.2998,12010.5996,12035.7998,12035.7998,538100.0
2020-01-31,26757.609375,26818.839844,26295.490234,26312.630859,26312.630859,1874255200,12100.4004,12103.5498,11945.8496,11962.0996,11962.0996,771300.0
2020-02-03,26189.609375,26512.580078,26145.589844,26356.980469,26356.980469,2421482700,11627.4502,11749.8496,11614.5,11707.9004,11707.9004,669800.0
2020-02-04,26491.660156,26730.259766,26491.660156,26675.980469,26675.980469,2500238100,11786.25,11986.1504,11783.4004,11979.6504,11979.6504,560400.0
2020-02-05,26869.320313,26926.119141000003,26641.919922,26786.740234,26786.740234,2498930800,12005.8496,12098.1504,11953.3496,12089.1504,12089.1504,758000.0
2020-02-06,27174.529297000005,27608.220702999995,27029.490233999997,27493.699219,27493.699219,2249533900,12120.0,12160.5996,12084.6504,12137.9502,12137.9502,565100.0
2020-02-07,27356.279297000005,27410.580077999995,27224.119141000003,27404.269531,27404.269531,1464514700,12151.1504,12154.7002,12073.9502,12098.3496,12098.3496,473500.0
